,Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
48,2020-05-04,Maroc,5 053,179,1 653,"3,54%","32,71%","63,74%",150,5,215
49,2020-05-03,Maroc,4 903,174,1 438,"3,55%","29,33%","67,12%",174,1,182
50,2020-05-02,Maroc,4 729,173,1 256,"3,66%","26,56%","69,78%",160,2,173
51,2020-05-01,Maroc,4 569,171,1 083,"3,74%","23,70%","72,55%",146,1,99
52,2020-04-30,Maroc,4 423,170,984,"3,84%","22,25%","73,91%",102,2,56
53,2020-04-29,Maroc,4 321,168,928,"3,89%","21,48%","74,64%",69,3,150
54,2020-04-28,Maroc,4 252,165,778,"3,88%","18,30%","77,82%",132,3,83
55,2020-04-27,Maroc,4 120,162,695,"3,93%","16,87%","79,20%",55,1,102
56,2020-04-26,Maroc,4 065,161,593,"3,96%","14,59%","81,45%",168,2,56
57,2020-04-25,Maroc,3 897,159,537,"4,08%","13,78%","82,14%",139,1,51
58,2020-04-24,Maroc,3 758,158,486,"4,20%","12,93%","82,86%",190,3,30
59,2020-04-23,Maroc,3 568,155,456,"4,34%","12,78%","82,88%",122,6,39
60,2020-04-22,Maroc,3 446,149,417,"4,32%","12,10%","83,58%",237,4,24
61,2020-04-21,Maroc,3 209,145,393,"4,52%","12,25%","83,23%",163,2,43
62,2020-04-20,Maroc,3 046,143,350,"4,69%","11,49%","83,81%",191,2,23
63,2020-04-19,Maroc,2 855,141,327,"4,94%","11,45%","83,61%",170,4,13
64,2020-04-18,Maroc,2 685,137,314,"5,10%","11,69%","83,20%",121,2,33
65,2020-04-17,Maroc,2 564,135,281,"5,27%","10,96%","83,78%",281,5,32
66,2020-04-16,Maroc,2 283,130,249,"5,69%","10,91%","83,40%",259,3,20
67,2020-04-15,Maroc,2 024,127,229,"6,27%","11,31%","82,41%",136,1,12
68,2020-04-14,Maroc,1 888,126,217,"6,67%","11,49%","81,83%",125,0,14
69,2020-04-13,Maroc,1 763,126,203,"7,15%","11,51%","81,34%",102,8,26
70,2020-04-12,Maroc,1 661,118,177,"7,10%","10,66%","82,24%",116,7,31
71,2020-04-11,Maroc,1 545,111,146,"7,18%","9,45%","83,37%",97,4,24
72,2020-04-10,Maroc,1 448,107,122,"7,39%","8,43%","84,19%",74,10,13
73,2020-04-09,Maroc,1 374,97,109,"7,06%","7,93%","85,01%",99,4,12
74,2020-04-08,Maroc,1 275,93,97,"7,29%","7,61%","85,10%",91,3,4
75,2020-04-07,Maroc,1 184,90,93,"7,60%","7,85%","84,54%",64,10,12
76,2020-04-06,Maroc,1 120,80,81,"7,14%","7,23%","85,63%",99,10,5
77,2020-04-05,Maroc,1 021,70,76,"6,86%","7,44%","85,70%",102,11,10
78,2020-04-04,Maroc,919,59,66,"6,42%","7,18%","86,40%",128,11,9
79,2020-04-03,Maroc,791,48,57,"6,07%","7,21%","86,73%",83,4,26
80,2020-04-02,Maroc,708,44,31,"6,21%","4,38%","89,41%",54,5,2
81,2020-04-01,Maroc,654,39,29,"5,96%","4,43%","89,60%",37,3,5
82,2020-03-31,Maroc,617,36,24,"5,83%","3,89%","90,28%",61,3,9
83,2020-03-30,Maroc,556,33,15,"5,94%","2,70%","91,37%",77,7,2
84,2020-03-29,Maroc,479,26,13,"5,43%","2,71%","91,86%",77,1,2
85,2020-03-28,Maroc,402,25,11,"6,22%","2,74%","91,04%",57,2,0
86,2020-03-27,Maroc,345,23,11,"6,67%","3,19%","90,14%",70,12,3
87,2020-03-26,Maroc,275,11,8,"4,00%","2,91%","93,09%",50,5,1
88,2020-03-25,Maroc,225,6,7,"2,67%","3,11%","94,22%",55,1,1
89,2020-03-24,Maroc,170,5,6,"2,94%","3,53%","93,53%",27,1,1
90,2020-03-23,Maroc,143,4,5,"2,80%","3,50%","93,71%",28,0,2
91,2020-03-22,Maroc,115,4,3,"3,48%","2,61%","93,91%",19,1,0
92,2020-03-21,Maroc,96,3,3,"3,13%","3,13%","93,75%",19,0,2
93,2020-03-20,Maroc,77,3,1,"3,90%","1,30%","94,81%",14,1,0
94,2020-03-19,Maroc,63,2,1,"3,17%","1,59%","95,24%",14,0,0
95,2020-03-18,Maroc,49,2,1,"4,08%","2,04%","93,88%",11,0,0
96,2020-03-17,Maroc,38,2,1,"5,26%","2,63%","92,11%",9,1,0
97,2020-03-16,Maroc,29,1,1,"3,45%","3,45%","93,10%",1,0,0
98,2020-03-15,Maroc,28,1,1,"3,57%","3,57%","92,86%",11,0,0
99,2020-03-14,Maroc,17,1,1,"5,88%","5,88%","88,24%",10,0,0
100,2020-03-13,Maroc,7,1,1,"14,29%","14,29%","71,43%",1,0,1
101,2020-03-12,Maroc,6,1,0,"16,67%","0,00%","83,33%",1,0,0
102,2020-03-11,Maroc,5,1,0,"20,00%","0,00%","80,00%",2,0,0
103,2020-03-10,Maroc,3,1,0,"33,33%","0,00%","66,67%",1,1,0
104,2020-03-09,Maroc,2,0,0,"0,00%","0,00%","100,00%",0,0,0
105,2020-03-08,Maroc,2,0,0,"0,00%","0,00%","100,00%",0,0,0
106,2020-03-07,Maroc,2,0,0,"0,00%","0,00%","100,00%",0,0,0
107,2020-03-06,Maroc,2,0,0,"0,00%","0,00%","100,00%",0,0,0
108,2020-03-05,Maroc,2,0,0,"0,00%","0,00%","100,00%",1,0,0
109,2020-03-04,Maroc,1,0,0,"0,00%","0,00%","100,00%",0,0,0
110,2020-03-03,Maroc,1,0,0,"0,00%","0,00%","100,00%",0,0,0
111,2020-03-02,Maroc,1,0,0,"0,00%","0,00%","100,00%",1,0,0
