,Unnamed: 0_level_0,Unnamed: 1_level_0,Total,Total,Total,Taux,Taux,Taux,Nouveaux par jour,Nouveaux par jour,Nouveaux par jour
55,2020-04-27,Italie,199 414,26 977,66 624,"13,53%","33,41%","53,06%",+1 739,333,+1 696
56,2020-04-26,Italie,197 675,26 644,64 928,"13,48%","32,85%","53,68%",+2 324,260,+1 808
57,2020-04-25,Italie,195 351,26 384,63 120,"13,51%","32,31%","54,18%",+2 357,415,+2 622
58,2020-04-24,Italie,192 994,25 969,60 498,"13,46%","31,35%","55,20%",+3 021,420,+2 922
59,2020-04-23,Italie,189 973,25 549,57 576,"13,45%","30,31%","56,24%",+2 646,464,+3 033
60,2020-04-22,Italie,187 327,25 085,54 543,"13,39%","29,12%","57,49%",+3 370,437,+2 943
61,2020-04-21,Italie,183 957,24 648,51 600,"13,40%","28,05%","58,55%",+2 729,534,+2 723
62,2020-04-20,Italie,181 228,24 114,48 877,"13,31%","26,97%","59,72%",+2 256,454,+1 822
63,2020-04-19,Italie,178 972,23 660,47 055,"13,22%","26,29%","60,49%",+3 047,433,+2 128
64,2020-04-18,Italie,175 925,23 227,44 927,"13,20%","25,54%","61,26%",+3 491,482,+2 200
65,2020-04-17,Italie,172 434,22 745,42 727,"13,19%","24,78%","62,03%",+3 493,575,+2 563
66,2020-04-16,Italie,168 941,22 170,40 164,"13,12%","23,77%","63,10%",+3 786,525,+2 072
67,2020-04-15,Italie,165 155,21 645,38 092,"13,11%","23,06%","63,83%",+2 667,578,+962
68,2020-04-14,Italie,162 488,21 067,37 130,"12,97%","22,85%","64,18%",+2 972,602,+1 695
69,2020-04-13,Italie,159 516,20 465,35 435,"12,83%","22,21%","64,96%",+3 153,566,+1 224
70,2020-04-12,Italie,156 363,19 899,34 211,"12,73%","21,88%","65,39%",+4 092,431,+1 677
71,2020-04-11,Italie,152 271,19 468,32 534,"12,79%","21,37%","65,85%",+4 694,619,+2 079
72,2020-04-10,Italie,147 577,18 849,30 455,"12,77%","20,64%","66,59%",+3 951,570,+1 985
73,2020-04-09,Italie,143 626,18 279,28 470,"12,73%","19,82%","67,45%",+4 204,610,+1 979
74,2020-04-08,Italie,139 422,17 669,26 491,"12,67%","19,00%","68,33%",+3 836,542,+2 099
75,2020-04-07,Italie,135 586,17 127,24 392,"12,63%","17,99%","69,38%",+3 039,604,+1 555
76,2020-04-06,Italie,132 547,16 523,22 837,"12,47%","17,23%","70,30%",+3 599,636,+1 022
77,2020-04-05,Italie,128 948,15 887,21 815,"12,32%","16,92%","70,76%",+4 316,525,+819
78,2020-04-04,Italie,124 632,15 362,20 996,"12,33%","16,85%","70,83%",+4 805,681,+1 238
79,2020-04-03,Italie,119 827,14 681,19 758,"12,25%","16,49%","71,26%",+4 585,766,+1 480
80,2020-04-02,Italie,115 242,13 915,18 278,"12,07%","15,86%","72,06%",+4 668,760,+1 431
81,2020-04-01,Italie,110 574,13 155,16 847,"11,90%","15,24%","72,87%",+4 782,727,+1 118
82,2020-03-31,Italie,105 792,12 428,15 729,"11,75%","14,87%","73,38%",+4 053,837,+1 109
83,2020-03-30,Italie,101 739,11 591,14 620,"11,39%","14,37%","74,24%",+4 050,812,+1 590
84,2020-03-29,Italie,97 689,10 779,13 030,"11,03%","13,34%","75,63%",+5 217,756,+646
85,2020-03-28,Italie,92 472,10 023,12 384,"10,84%","13,39%","75,77%",+5 974,889,+1 434
86,2020-03-27,Italie,86 498,9 134,10 950,"10,56%","12,66%","76,78%",+5 909,919,+589
87,2020-03-26,Italie,80 589,8 215,10 361,"10,19%","12,86%","76,95%",+6 203,712,+999
88,2020-03-25,Italie,74 386,7 503,9 362,"10,09%","12,59%","77,33%",+5 210,683,+1 036
89,2020-03-24,Italie,69 176,6 820,8 326,"9,86%","12,04%","78,11%",+5 249,743,+894
90,2020-03-23,Italie,63 927,6 077,7 432,"9,51%","11,63%","78,87%",+4 789,601,+408
91,2020-03-22,Italie,59 138,5 476,7 024,"9,26%","11,88%","78,86%",+5 560,651,+952
92,2020-03-21,Italie,53 578,4 825,6 072,"9,01%","11,33%","79,66%",+6 557,793,+1 632
93,2020-03-20,Italie,47 021,4 032,4 440,"8,57%","9,44%","81,98%",+5 986,627,0
94,2020-03-19,Italie,41 035,3 405,4 440,"8,30%","10,82%","80,88%",+5 322,427,+415
95,2020-03-18,Italie,35 713,2 978,4 025,"8,34%","11,27%","80,39%",+4 207,475,+1 084
96,2020-03-17,Italie,31 506,2 503,2 941,"7,94%","9,33%","82,72%",+3 526,345,+192
97,2020-03-16,Italie,27 980,2 158,2 749,"7,71%","9,82%","82,46%",+3 233,349,+414
98,2020-03-15,Italie,24 747,1 809,2 335,"7,31%","9,44%","83,25%",+3 590,368,+369
99,2020-03-14,Italie,21 157,1 441,1 966,"6,81%","9,29%","83,90%",+3 497,175,+527
100,2020-03-13,Italie,17 660,1 266,1 439,"7,17%","8,15%","84,68%",+2 547,250,+181
101,2020-03-12,Italie,15 113,1 016,1 258,"6,72%","8,32%","84,95%",+2 651,189,+213
102,2020-03-11,Italie,12 462,827,1 045,"6,64%","8,39%","84,98%",+2 313,196,+321
103,2020-03-10,Italie,10 149,631,724,"6,22%","7,13%","86,65%",+977,168,0
104,2020-03-09,Italie,9 172,463,724,"5,05%","7,89%","87,06%",+1 797,97,+102
105,2020-03-08,Italie,7 375,366,622,"4,96%","8,43%","86,60%",+1 492,133,+33
106,2020-03-07,Italie,5 883,233,589,"3,96%","10,01%","86,03%",+1 247,36,+66
107,2020-03-06,Italie,4 636,197,523,"4,25%","11,28%","84,47%",+778,49,+109
108,2020-03-05,Italie,3 858,148,414,"3,84%","10,73%","85,43%",+769,41,+138
109,2020-03-04,Italie,3 089,107,276,"3,46%","8,93%","87,60%",+587,28,+116
110,2020-03-03,Italie,2 502,79,160,"3,16%","6,39%","90,45%",+466,27,+11
111,2020-03-02,Italie,2 036,52,149,"2,55%","7,32%","90,13%",+342,18,+66
112,2020-03-01,Italie,1 694,34,83,"2,01%","4,90%","93,09%",+566,5,+37
113,2020-02-29,Italie,1 128,29,46,"2,57%","4,08%","93,35%",+240,8,0
114,2020-02-28,Italie,888,21,46,"2,36%","5,18%","92,45%",+233,4,+1
115,2020-02-27,Italie,655,17,45,"2,60%","6,87%","90,53%",+202,5,+42
116,2020-02-26,Italie,453,12,3,"2,65%","0,66%","96,69%",+131,2,+2
117,2020-02-25,Italie,322,10,1,"3,11%","0,31%","96,58%",+93,3,0
118,2020-02-24,Italie,229,7,1,"3,06%","0,44%","96,51%",+74,4,-1
119,2020-02-23,Italie,155,3,2,"1,94%","1,29%","96,77%",+93,1,+1
120,2020-02-22,Italie,62,2,1,"3,23%","1,61%","95,16%",+42,1,+1
121,2020-02-21,Italie,20,1,0,"5,00%","0,00%","95,00%",+17,1,0
122,2020-02-20,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
123,2020-02-19,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
124,2020-02-18,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
125,2020-02-17,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
126,2020-02-16,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
127,2020-02-15,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
128,2020-02-14,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
129,2020-02-13,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
130,2020-02-12,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
131,2020-02-11,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
132,2020-02-10,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
133,2020-02-09,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
134,2020-02-08,Italie,3,0,0,"0,00%","0,00%","100,00%",0,0,0
135,2020-02-07,Italie,3,0,0,"0,00%","0,00%","100,00%",+1,0,0
136,2020-02-06,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
137,2020-02-05,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
138,2020-02-04,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
139,2020-02-03,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
140,2020-02-02,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
141,2020-02-01,Italie,2,0,0,"0,00%","0,00%","100,00%",0,0,0
142,2020-01-31,Italie,2,0,0,"0,00%","0,00%","100,00%",+2,0,0
